,name,runtime,popularity,vote_counts,vote_averages,Animation,Comedy,Family,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,History,ScienceFiction,Mystery,War,Foreign,,Music,Documentary,Western,TVMovie
0,Toy Story,81.0,21.946943,5415.0,7.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jumanji,104.0,17.015539,2413.0,6.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Grumpier Old Men,101.0,11.7129,92.0,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Waiting to Exhale,127.0,3.859495,34.0,6.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Father of the Bride Part II,106.0,8.387519000000001,173.0,5.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Heat,170.0,17.924927,1886.0,7.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Sabrina,127.0,6.677277,141.0,6.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Tom and Huck,97.0,2.5611610000000002,45.0,5.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sudden Death,106.0,5.23158,174.0,5.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,GoldenEye,130.0,14.686035999999998,1194.0,6.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,The American President,106.0,6.318445,199.0,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dracula: Dead and Loving It,88.0,5.430331,210.0,5.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Balto,78.0,12.140733,423.0,7.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nixon,192.0,5.092,72.0,7.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Cutthroat Island,119.0,7.284477000000001,137.0,5.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Casino,178.0,10.137389,1343.0,7.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sense and Sensibility,136.0,10.673167,364.0,7.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Four Rooms,98.0,9.026586,539.0,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ace Ventura: When Nature Calls,90.0,8.205447999999999,1128.0,6.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Money Train,103.0,7.337905999999999,224.0,5.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Get Shorty,105.0,12.669608,305.0,6.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Copycat,124.0,10.701801,199.0,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Assassins,132.0,11.065939,394.0,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Powder,111.0,12.133094,143.0,6.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Leaving Las Vegas,112.0,10.332025,365.0,7.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Othello,123.0,1.8458990000000002,33.0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Now and Then,100.0,8.681325,91.0,6.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Persuasion,104.0,2.228434,36.0,7.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,The City of Lost Children,108.0,9.822422999999999,308.0,7.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Shanghai Triad,108.0,1.1009149999999999,17.0,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Dangerous Minds,99.0,9.481338000000001,249.0,6.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Twelve Monkeys,129.0,12.297305,2470.0,7.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Wings of Courage,50.0,0.745542,4.0,6.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Babe,89.0,14.404764000000002,756.0,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
