,name,genres,budget,revenue,runtime,popularity,vote_counts,vote_averages
0,Toy Story,"['Animation', 'Comedy', 'Family']",30000000.0,373554033.0,81.0,21.946943,5415.0,7.7
1,Jumanji,"['Adventure', 'Fantasy', 'Family']",65000000.0,262797249.0,104.0,17.015539,2413.0,6.9
2,Grumpier Old Men,"['Romance', 'Comedy']",0.0,0.0,101.0,11.7129,92.0,6.5
3,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",16000000.0,81452156.0,127.0,3.859495,34.0,6.1
4,Father of the Bride Part II,['Comedy'],0.0,76578911.0,106.0,8.387519,173.0,5.7
5,Heat,"['Action', 'Crime', 'Drama', 'Thriller']",60000000.0,187436818.0,170.0,17.924927,1886.0,7.7
6,Sabrina,"['Comedy', 'Romance']",58000000.0,0.0,127.0,6.677277,141.0,6.2
7,Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']",0.0,0.0,97.0,2.561161,45.0,5.4
8,Sudden Death,"['Action', 'Adventure', 'Thriller']",35000000.0,64350171.0,106.0,5.23158,174.0,5.5
9,GoldenEye,"['Adventure', 'Action', 'Thriller']",58000000.0,352194034.0,130.0,14.686036,1194.0,6.6
10,The American President,"['Comedy', 'Drama', 'Romance']",62000000.0,107879496.0,106.0,6.318445,199.0,6.5
11,Dracula: Dead and Loving It,"['Comedy', 'Horror']",0.0,0.0,88.0,5.430331,210.0,5.7
12,Balto,"['Family', 'Animation', 'Adventure']",0.0,11348324.0,78.0,12.140733,423.0,7.1
13,Nixon,"['History', 'Drama']",44000000.0,13681765.0,192.0,5.092,72.0,7.1
14,Cutthroat Island,"['Action', 'Adventure']",98000000.0,10017322.0,119.0,7.284477,137.0,5.7
15,Casino,"['Drama', 'Crime']",52000000.0,116112375.0,178.0,10.137389,1343.0,7.8
16,Sense and Sensibility,"['Drama', 'Romance']",16500000.0,135000000.0,136.0,10.673167,364.0,7.2
17,Four Rooms,"['Crime', 'Comedy']",4000000.0,4300000.0,98.0,9.026586,539.0,6.5
18,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",30000000.0,212385533.0,90.0,8.205448,1128.0,6.1
19,Money Train,"['Action', 'Comedy', 'Crime']",60000000.0,35431113.0,103.0,7.337906,224.0,5.4
20,Get Shorty,"['Comedy', 'Thriller', 'Crime']",30250000.0,115101622.0,105.0,12.669608,305.0,6.4
21,Copycat,"['Drama', 'Thriller']",0.0,0.0,124.0,10.701801,199.0,6.5
22,Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']",50000000.0,30303072.0,132.0,11.065939,394.0,6.0
23,Powder,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",0.0,0.0,111.0,12.133094,143.0,6.3
24,Leaving Las Vegas,"['Drama', 'Romance']",3600000.0,49800000.0,112.0,10.332025,365.0,7.1
25,Othello,['Drama'],0.0,0.0,123.0,1.845899,33.0,7.0
26,Now and Then,"['Comedy', 'Drama', 'Family']",12000000.0,27400000.0,100.0,8.681325,91.0,6.6
27,Persuasion,"['Drama', 'Romance']",0.0,0.0,104.0,2.228434,36.0,7.4
28,The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']",18000000.0,1738611.0,108.0,9.822423,308.0,7.6
29,Shanghai Triad,"['Drama', 'Crime']",0.0,0.0,108.0,1.100915,17.0,6.5
30,Dangerous Minds,"['Drama', 'Crime']",0.0,180000000.0,99.0,9.481338,249.0,6.4
31,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",29500000.0,168840000.0,129.0,12.297305,2470.0,7.4
32,Wings of Courage,"['Romance', 'Adventure']",0.0,0.0,50.0,0.745542,4.0,6.8
33,Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",30000000.0,254134910.0,89.0,14.404764,756.0,6.0
34,Carrington,"['History', 'Drama', 'Romance']",0.0,0.0,121.0,1.493361,16.0,6.4
35,Dead Man Walking,['Drama'],11000000.0,39363635.0,122.0,6.891317,350.0,7.3
36,Across the Sea of Time,"['Adventure', 'History', 'Drama', 'Family']",0.0,0.0,51.0,0.114469,2.0,3.5
37,It Takes Two,"['Comedy', 'Family', 'Romance']",0.0,0.0,101.0,7.777735,149.0,6.1
38,Clueless,"['Comedy', 'Drama', 'Romance']",12000000.0,0.0,97.0,9.882383,828.0,6.9
39,"Cry, the Beloved Country",['Drama'],0.0,676525.0,106.0,0.894647,13.0,6.7
40,Richard III,"['Drama', 'War']",0.0,0.0,104.0,4.561387,50.0,6.9
41,Dead Presidents,"['Action', 'Crime', 'Drama', 'History']",10000000.0,0.0,119.0,9.87957,80.0,6.6
42,Restoration,"['Drama', 'Romance']",19000000.0,0.0,117.0,10.979269,30.0,6.3
43,Mortal Kombat,"['Action', 'Fantasy']",18000000.0,122195920.0,101.0,10.870138,452.0,5.4
44,To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",20000000.0,21284514.0,106.0,10.448481,177.0,6.7
45,How To Make An American Quilt,"['Drama', 'Romance']",10000000.0,23574130.0,116.0,4.485958,38.0,6.5
46,Se7en,"['Crime', 'Mystery', 'Thriller']",33000000.0,327311859.0,127.0,18.45743,5915.0,8.1
47,Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",55000000.0,346079773.0,81.0,13.280069,1509.0,6.7
48,When Night Is Falling,"['Drama', 'Romance']",0.0,0.0,96.0,3.302524,10.0,5.9
49,The Usual Suspects,"['Drama', 'Crime', 'Thriller']",6000000.0,23341568.0,106.0,16.302466,3334.0,8.1
50,Guardian Angel,"['Action', 'Thriller', 'Drama']",0.0,0.0,93.0,0.595949,3.0,6.3
51,Mighty Aphrodite,"['Comedy', 'Romance']",15000000.0,6700000.0,95.0,15.899134,145.0,6.7
52,Lamerica,"['Drama', 'Foreign']",0.0,0.0,116.0,1.361286,11.0,7.7
53,The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']",0.0,0.0,100.0,5.982764,41.0,5.2
54,Georgia,['Drama'],0.0,0.0,115.0,4.093443,15.0,6.1
55,Kids of the Round Table,[],0.0,0.0,89.0,0.307075,1.0,3.0
56,Home for the Holidays,"['Comedy', 'Drama', 'Romance']",0.0,17519169.0,103.0,8.416802,39.0,6.3
57,The Postman,"['Comedy', 'Drama', 'Romance']",0.0,,0.0,10.168437,181.0,7.6
58,The Confessional,"['Thriller', 'Drama', 'Mystery']",0.0,0.0,100.0,0.120789,2.0,6.5
59,The Indian in the Cupboard,"['Adventure', 'Family', 'Fantasy']",45000000.0,0.0,96.0,10.673296,136.0,5.9
60,Eye for an Eye,"['Drama', 'Thriller']",20000000.0,0.0,101.0,4.733526,65.0,5.8
61,Mr. Holland's Opus,"['Music', 'Drama', 'Family']",0.0,106269971.0,137.0,7.137117,115.0,6.9
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],0.0,0.0,89.0,11.700115,192.0,6.2
63,Two If by Sea,"['Comedy', 'Romance']",0.0,0.0,96.0,2.174487,14.0,4.5
64,Bio-Dome,['Comedy'],15000000.0,0.0,88.0,6.387469,110.0,4.4
65,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']",0.0,2409225.0,92.0,2.49535,32.0,2.8
66,Two Bits,"['Drama', 'Family']",0.0,0.0,85.0,4.046208,11.0,5.4
67,French Twist,"['Comedy', 'Romance']",0.0,0.0,95.0,2.518051,43.0,6.0
68,Friday,['Comedy'],3500000.0,28215918.0,91.0,14.56965,513.0,7.0
69,From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",19000000.0,25836616.0,108.0,15.339153,1644.0,6.9
70,Fair Game,"['Action', 'Thriller', 'Romance']",50000000.0,11534477.0,91.0,5.912223,54.0,4.1
71,Kicking and Screaming,"['Comedy', 'Drama', 'Romance']",0.0,718490.0,96.0,3.367276,36.0,7.0
72,Les Miserables,"['Drama', 'History']",0.0,0.0,175.0,1.479446,8.0,6.6
73,Bed of Roses,"['Drama', 'Romance']",0.0,19030691.0,87.0,10.412194,27.0,5.1
74,Big Bully,"['Comedy', 'Family']",15000000.0,2042530.0,90.0,2.936443,16.0,3.9
75,Screamers,"['Horror', 'Science Fiction']",20000000.0,5781885.0,108.0,12.758848,154.0,6.1
76,Nico Icon,['Documentary'],0.0,0.0,70.0,0.133893,3.0,7.3
77,The Crossing Guard,"['Drama', 'Thriller']",0.0,0.0,111.0,5.756462,74.0,6.1
78,The Juror,"['Drama', 'Thriller']",44000000.0,0.0,118.0,6.010579,91.0,5.5
79,The White Balloon,"['Family', 'Drama']",0.0,0.0,85.0,1.196256,20.0,7.5
80,Things to Do in Denver When You're Dead,"['Drama', 'Crime']",8000000.0,529766.0,116.0,4.486179,87.0,6.7
81,Antonia's Line,"['Drama', 'Comedy']",900000.0,0.0,102.0,2.030174,26.0,7.2
82,Once Upon a Time... When We Were Colored,"['Romance', 'Drama']",0.0,0.0,115.0,0.252287,2.0,4.5
83,Last Summer in the Hamptons,[],0.0,0.0,108.0,0.531159,0.0,0.0
84,Angels and Insects,"['Drama', 'Romance']",0.0,0.0,118.0,2.15166,17.0,6.3
85,White Squall,"['Action', 'Drama']",38000000.0,10300000.0,129.0,9.568604,86.0,6.3
86,Dunston Checks In,"['Adventure', 'Comedy', 'Family']",16000000.0,0.0,88.0,4.814825,59.0,5.1
87,Black Sheep,['Comedy'],0.0,32.0,87.0,8.963037,124.0,6.0
88,Nick of Time,"['Crime', 'Drama', 'Thriller']",8169363.0,8175346.0,90.0,6.848591,190.0,6.1
89,The Journey of August King,['Drama'],0.0,0.0,91.0,0.411424,3.0,6.7
90,Mary Reilly,"['Drama', 'Horror', 'Thriller', 'Romance']",47000000.0,12379402.0,104.0,12.866139,77.0,5.7
91,Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",14000000.0,19800000.0,100.0,9.071127,113.0,4.5
92,Beautiful Girls,"['Comedy', 'Drama', 'Romance']",0.0,0.0,112.0,4.670562,103.0,6.6
93,Broken Arrow,"['Action', 'Adventure', 'Drama', 'Thriller']",50000000.0,150270147.0,108.0,14.957626,459.0,5.7
94,A Midwinter's Tale,['Comedy'],0.0,0.0,99.0,0.513391,6.0,7.5
95,La Haine,['Drama'],3000000.0,0.0,98.0,12.108196,695.0,7.9
96,Shopping,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",0.0,0.0,105.0,2.657647,13.0,5.6
97,Heidi Fleiss: Hollywood Madam,['Documentary'],0.0,0.0,106.0,0.638211,4.0,6.8
98,City Hall,"['Drama', 'Thriller']",0.0,0.0,111.0,4.807223,67.0,6.0
99,Bottle Rocket,"['Comedy', 'Crime', 'Drama']",7000000.0,560069.0,91.0,6.904831,285.0,6.8
100,Mr. Wrong,"['Comedy', 'Romance']",0.0,0.0,96.0,3.329264,16.0,3.3
101,Unforgettable,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",18000000.0,0.0,106.0,2.464425,22.0,5.3
102,Happy Gilmore,['Comedy'],12000000.0,41205099.0,92.0,9.592265,767.0,6.5
103,The Bridges of Madison County,"['Drama', 'Romance']",24000000.0,182016617.0,135.0,5.951077,397.0,7.3
104,Nobody Loves Me,"['Drama', 'Comedy', 'Family']",0.0,0.0,104.0,1.015068,5.0,5.1
105,Muppet Treasure Island,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",0.0,34327391.0,100.0,6.902423,93.0,6.5
106,Catwalk,['Documentary'],0.0,0.0,95.0,0.976707,2.0,7.0
107,Headless Body in Topless Bar,['Crime'],0.0,0.0,110.0,0.001346,0.0,0.0
108,Braveheart,"['Action', 'Drama', 'History', 'War']",72000000.0,210000000.0,177.0,20.755149,3404.0,7.7
109,Taxi Driver,"['Crime', 'Drama']",1300000.0,28262574.0,114.0,14.092713,2632.0,8.1
110,Rumble in the Bronx,"['Crime', 'Action', 'Comedy', 'Thriller']",7500000.0,32392047.0,91.0,12.314278,245.0,6.5
111,Before and After,"['Drama', 'Thriller']",35000000.0,0.0,108.0,2.938293,37.0,5.8
112,Margaret's Museum,['Drama'],0.0,0.0,114.0,0.372697,2.0,7.5
113,Happiness Is in the Field,['Comedy'],13365000.0,0.0,106.0,1.254885,23.0,7.0
114,Anne Frank Remembered,"['Documentary', 'Drama', 'Foreign']",0.0,1.0,117.0,0.243986,4.0,7.3
115,The Young Poisoner's Handbook,"['Comedy', 'Crime', 'Drama']",0.0,0.0,99.0,6.178497,19.0,6.9
116,If Lucy Fell,"['Comedy', 'Romance']",0.0,0.0,92.0,2.891918,11.0,5.4
117,Steal Big Steal Little,"['Comedy', 'Drama']",25000000.0,6278139.0,113.0,1.522412,7.0,5.1
118,Race the Sun,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",0.0,0.0,100.0,1.317878,21.0,5.2
119,The Boys of St. Vincent,['Drama'],0.0,0.0,90.0,0.86539,7.0,7.0
